brand,category,image,title,sku,instock,productId,price,description,specifications
Bambi,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/1061122917_w640_h640_mega-skidka-detskij.jpg,"Мега скидка!! Детский беговел PROFI KIDS 12 д  с ева колесами  M 3437-3TW красный  ***","M 3437-3TW","В наличии",737457179,672,"Вес :   2,7 кг Материал: облегченная сталь Колеса, диаметр : 12  дюймов Материал колес: EVA Обода: пластмасса Колесные втулки: пластмасса Регулируемое сиденье, max высота 38см Регулируемый руль, max высота 59см Двухсторонняя рама","производитель = Bambi,страна производитель = Китай,тип = Машинка,пол = Унисекс,возрастная группа = От 2 до 4 лет,"
Bambi,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/1061058587_w640_h640_mega-skidka-velobeg-begovel.jpg,"Мега скидка!! Велобег-беговел PROFI KIDS 12 Д. M 3440-6 сиреневый ***","M 3440-6","В наличии",737459506,644,"Вес :   2,7 кг Колеса, диаметр : 12  дюймов Материал колес: EVA Обода: пластмасса Регулируемое сиденье, min 29см, max высота 42см Высота до руля - min 50см, max высота 63см  Длина беговела - 85см","производитель = Bambi,страна производитель = Китай,пол = Унисекс,надувные колеса = Нет,"
Bambi,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/801153264_w640_h640_mega-skidka-velobeg-begovel.jpg,"Мега скидка!! Велобег-беговел PROFI KIDS 12 Д. M 3437A-2 розовый***","M 3437A-2","В наличии",737458670,728,"Вес :   3,5 кг Материал: облегченная сталь Колеса, диаметр : 12  дюймов Материал колес: резина (надувные) Обода: пластмасса Колесные втулки: пластмасса Регулируемое сиденье, max высота 38см Регулируемый руль, max высота 59см Набор наклеек на раму","производитель = Bambi,страна производитель = Китай,пол = Унисекс,надувные колеса = Нет,"
Bamby,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/695429346_w640_h640_mega-skidka-detskij.jpg,"Мега скидка!! Детский веломобиль-машина M 3413-3, красный***","M 3413-3","В наличии",737491819,1344,"ручной тормоз, 3-8лет,       ","производитель = Bamby,страна производитель = Китай,тип = Карт,количество мест в веломобиле = 1,возрастная группа = От 8 лет,материал корпуса = Металл,материал колес = Резина,ход педалей = Вперед и назад,тормоз = Ручной,особенности = Регулируемый руль,"
Bamby,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/695431104_w640_h640_mega-skidka-detskij.jpg,"Мега скидка!! Детский веломобиль-машина M 3413-1, белый***","M 3413-1","В наличии",737492176,1344,"ручной тормоз, 3-8лет,       ","производитель = Bamby,страна производитель = Китай,тип = Карт,количество мест в веломобиле = 1,возрастная группа = От 8 лет,материал корпуса = Металл,материал колес = Резина,ход педалей = Вперед и назад,тормоз = Ручной,особенности = Регулируемый руль,"
Bamby,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/726919603_w640_h640_mega-skidka-kolyaska.jpg,"Мега скидка!! Коляска прогулочная коляска MOTION M 3295-8,розово-черная ***, фото 1","M 3295-8","В наличии",737496039,1652,"ТИП прогулочная + <br />
 КОЛИЧЕСТВО МЕСТ одноместная/двухместная одноместная <br />
 ТИП СЛОЖЕНИЯ книжка + <br />
 в сложенном виде фиксируется застежкой, устойчива в вертикальном положении  <br />
 складывается с помощью ремня на сиденьи и застежки сбоку коляски  <br />
 РАМА алюминий <br />
 ГАБАРИТНЫЙ РАЗМЕР в собранном виде (д/ш/в) 80см/51см/102см <br />
 в сложенном виде 75см/51см/34см <br />
 РАЗМЕР СПАЛЬНОГО МЕСТА длина/ширина д80см-ш28см <br />
 ШИРИНА ШАССИ передних колес/задних колес 31,5см/51см <br />
 РОДИТЕЛЬСКАЯ РУЧКА материал EVA <br />
 высота от пола до ручки 102см <br />
 РЕМЕНЬ БЕЗОПАСНОСТИ 5-ти точечный + <br />
 СПИНКА регулируемая (ремнем/рычаг/планка) да/рег.ремнем <br />
 СИДЕНЬЕ размер ш28см-г22см <br />
 высота от пола до сиденья 41см <br />
 ПОДНОЖКА регулируемая + <br />
 БАМПЕР съемный + <br />
 растегивается + <br />
 КАПЮШОН глубокий (с трещоткой) + <br />
 застежка-молния (регулировка глубины) + <br />
 ОКОШКО задняя стенка капюшона скручивается и фиксируется застежкой  <br />
 КОЛЕСА количество 6 <br />
 диаметр передних колес 13см <br />
 диаметр задних колес 16см <br />
 тип передних колес (одинарные/двойные/поворотные) двойные <br />
 тип задних колес (одинарные/двойные/поворотные) одинарные <br />
 фиксатор на передних колесах <br />
 материал EVA <br />
 ТОРМОЗ задние колеса + <br />
 АМОРТИЗАТОРЫ да/нет на передних колесах <br />
 ДОПОЛНИТЕЛЬНО корзина да <br />
 чехол + <br />
 ВЕС 6кг","производитель = Bamby,страна производитель = Китай,тип коляски = Прогулочная,"
Bamby,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/726925310_w640_h640_mega-skidka-kolyaska.jpg,"Мега скидка!! Коляска прогулочная коляска PILOT M 3294-8, розово-черная ***, фото 1","M 3294-8","В наличии",737496514,1596,"ТИП прогулочная + <br />
 КОЛИЧЕСТВО МЕСТ одноместная/двухместная одноместная <br />
 ТИП СЛОЖЕНИЯ книжка + <br />
 в сложенном виде фиксируется застежкой, устойчива в вертикальном положении  <br />
 складывается с помощью ремня на сиденьи и застежки сбоку коляски  <br />
 РАМА алюминий <br />
 ГАБАРИТНЫЙ РАЗМЕР в собранном виде (д/ш/в) 80см/51см/102см <br />
 в сложенном виде 75см/51см/34см <br />
 РАЗМЕР СПАЛЬНОГО МЕСТА длина/ширина д80см-ш28см <br />
 ШИРИНА ШАССИ передних колес/задних колес 45,5см/51см <br />
 РОДИТЕЛЬСКАЯ РУЧКА материал EVA <br />
 высота от пола до ручки 102см <br />
 РЕМЕНЬ БЕЗОПАСНОСТИ 5-ти точечный + <br />
 СПИНКА регулируемая (ремнем/рычаг/планка) да/рег.ремнем <br />
 СИДЕНЬЕ размер ш28см-г22см <br />
 высота от пола до сиденья 43см <br />
 ПОДНОЖКА регулируемая + <br />
 БАМПЕР съемный + <br />
 растегивается + <br />
 КАПЮШОН глубокий (с трещоткой) + <br />
 застежка-молния (регулировка глубины) + <br />
 ОКОШКО задняя стенка капюшона скручивается и фиксируется застежкой  <br />
 КОЛЕСА количество 6 <br />
 диаметр передних колес 13см <br />
 диаметр задних колес 16см <br />
 тип передних колес (одинарные/двойные/поворотные) двойные <br />
 тип задних колес (одинарные/двойные/поворотные) одинарные <br />
 фиксатор на передних колесах <br />
 материал EVA <br />
 ТОРМОЗ задние колеса + <br />
 АМОРТИЗАТОРЫ да/нет на передних колесах <br />
 ДОПОЛНИТЕЛЬНО корзина да/съемная <br />
 чехол + <br />
 ВЕС 5,75кг","производитель = Bamby,страна производитель = Китай,тип коляски = Прогулочная,"
Bambi,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/899678080_w640_h640_mega-skidka-detskij.jpg,"Мега скидка!! Детский квадрацикл- толокар с баскетбольным кольцом и 3-мя шариками 606CB желтый  ***",606CB,"В наличии",737502133,980,"тигр,аккум6V4,5A, баскетб.кольцо,багажник,3шарика","производитель = Bambi,страна производитель = Китай,тип = Электромотоцикл,тип кузова = Мотоцикл,возрастная группа = От 1 года,количество мест в электро-/бензомобиле = 1,"
Bambi,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/1060981649_w640_h640_mega-skidka-detskij.jpg,"Мега скидка!! Детский беговел PROFI KIDS 12 д  с ева колесами M 3440B-7 ***","M 3440B-7","В наличии",737503515,756,"Вес :   3.2 кг Колеса, диаметр : 12  дюймов Материал колес: EVA Обода: пластмасса Регулируемое сиденье, min 29см, max высота 42см Высота до руля - min 50см, max высота 63см Длина беговела - 85см Ручной тормоз","производитель = Bambi,страна производитель = Китай,тип = Машинка,пол = Унисекс,возрастная группа = От 2 до 4 лет,"
Bamby,"Мега скидки до 50 %!!!!",https://images.ua.prom.st/675699740_w640_h640_mega-skidka-begovel.jpg,"Мега скидка!! БЕГОВЕЛ PROFI KIDS ДЕТСКИЙ 12 Д. M 3440W-2***","M 3440W-2","В наличии",737504301,784,"    ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ М 3440W-2 Вес :  2,7  кг Материал: облегченная сталь Колеса, диаметр :  12 дюймов Материал колес: EVA Обода: пластмасса Колесные втулки: пластмасса Регулируемое сиденье, max высота 43см Регулируемый руль, max высота 59,5см","производитель = Bamby,страна производитель = Китай,тип = Машинка,пол = Унисекс,возрастная группа = От 2 до 4 лет,"
