Brand,Category,"Product name",Price,"Description long","Description short",Stock,Public,"Feature input Страна Производитель","Feature input Тип","Feature input Пол","Feature input Возрастная Группа","Feature input Надувные Колеса","Feature input Количество Мест В Веломобиле","Feature input Материал Корпуса","Feature input Материал Колес","Feature input Ход Педалей","Feature input Тормоз","Feature input Особенности","Feature input Тип Коляски","Feature input Тип Кузова","Feature input Количество Мест В Электро-/Бензомобиле","Feature input Тематика","Feature input Материал","Feature input Тип Конструктора","Feature input Состояние","Feature input Упаковка","Feature input Размещение","Feature input Тип Мебели","Feature input Цвет (Оттенок) Мебели","Feature input Вид Стола По Своему Назначению","Feature input Наличие Надстройки","Feature input Наличие Ремней Безопасности","Feature input Съемный Чехол","Feature input Тип Качели","Feature input Материал Изготовления Каркаса","Feature input Комплектация Защитным Бампером","Feature input Подножка","Feature input Антискользящие Накладки На Ножках","Feature input Возраст","Feature input Цвет","Feature input Материал Изготовления","Feature input Способ Установки","Feature input Система Крепления","Feature input Точки Крепления Ребенка","Feature input Бустер","Feature input Подголовник","Feature input Опоры Стульчика","Feature input Вид Аксессуара","Feature input Тип Манежа","Feature input Опоры Манежа","Feature input Тип Кроватки","Feature input Материал Изготовления Манежа","Feature input Комплектация Пеленальным Столиком","Feature input Наличие Навесной Колыбели Для Младенцев","Feature input Оснащение Колесиков Системой Фиксации","Feature input Система Защиты От Произвольного Складывания","Feature input Карманы Для Аксессуаров","Feature input Сумка Для Переноски И Хранения Манежа","Feature input Боковой Вход Для Ребенка","Feature input Матрас","Feature input Крепление Прыгунков","Feature input Складная Конструкция Для Хранения И Транспортировки","Feature input Количество Источников Света","Feature input Ортопедические Свойства","Feature input Наполнение","Feature input Каркасный Рюкзак","Image 1"
Bambi,"Мега скидки до 50 %!!!!","Мега скидка!! Детский беговел PROFI KIDS 12 д  с ева колесами  M 3437-3TW красный  ***",672,"Вес :   2,7 кг Материал: облегченная сталь Колеса, диаметр : 12  дюймов Материал колес: EVA Обода: пластмасса Колесные втулки: пластмасса Регулируемое сиденье, max высота 38см Регулируемый руль, max высота 59см Двухсторонняя рама",,1,1,Китай,Машинка,Унисекс,"От 2 до 4 лет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737457179.jpg
Bambi,"Мега скидки до 50 %!!!!","Мега скидка!! Велобег-беговел PROFI KIDS 12 Д. M 3440-6 сиреневый ***",644,"Вес :   2,7 кг Колеса, диаметр : 12  дюймов Материал колес: EVA Обода: пластмасса Регулируемое сиденье, min 29см, max высота 42см Высота до руля - min 50см, max высота 63см  Длина беговела - 85см",,1,1,Китай,,Унисекс,,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737459506.jpg
Bambi,"Мега скидки до 50 %!!!!","Мега скидка!! Велобег-беговел PROFI KIDS 12 Д. M 3437A-2 розовый***",728,"Вес :   3,5 кг Материал: облегченная сталь Колеса, диаметр : 12  дюймов Материал колес: резина (надувные) Обода: пластмасса Колесные втулки: пластмасса Регулируемое сиденье, max высота 38см Регулируемый руль, max высота 59см Набор наклеек на раму",,1,1,Китай,,Унисекс,,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737458670.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! Детский веломобиль-машина M 3413-3, красный***",1344,"ручной тормоз, 3-8лет,       ",,1,1,Китай,Карт,,"От 8 лет",,1,Металл,Резина,"Вперед и назад",Ручной,"Регулируемый руль",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737491819.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! Детский веломобиль-машина M 3413-1, белый***",1344,"ручной тормоз, 3-8лет,       ",,1,1,Китай,Карт,,"От 8 лет",,1,Металл,Резина,"Вперед и назад",Ручной,"Регулируемый руль",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737492176.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! Коляска прогулочная коляска MOTION M 3295-8,розово-черная ***, фото 1",1652,"ТИП прогулочная + <br />
 КОЛИЧЕСТВО МЕСТ одноместная/двухместная одноместная <br />
 ТИП СЛОЖЕНИЯ книжка + <br />
 в сложенном виде фиксируется застежкой, устойчива в вертикальном положении  <br />
 складывается с помощью ремня на сиденьи и застежки сбоку коляски  <br />
 РАМА алюминий <br />
 ГАБАРИТНЫЙ РАЗМЕР в собранном виде (д/ш/в) 80см/51см/102см <br />
 в сложенном виде 75см/51см/34см <br />
 РАЗМЕР СПАЛЬНОГО МЕСТА длина/ширина д80см-ш28см <br />
 ШИРИНА ШАССИ передних колес/задних колес 31,5см/51см <br />
 РОДИТЕЛЬСКАЯ РУЧКА материал EVA <br />
 высота от пола до ручки 102см <br />
 РЕМЕНЬ БЕЗОПАСНОСТИ 5-ти точечный + <br />
 СПИНКА регулируемая (ремнем/рычаг/планка) да/рег.ремнем <br />
 СИДЕНЬЕ размер ш28см-г22см <br />
 высота от пола до сиденья 41см <br />
 ПОДНОЖКА регулируемая + <br />
 БАМПЕР съемный + <br />
 растегивается + <br />
 КАПЮШОН глубокий (с трещоткой) + <br />
 застежка-молния (регулировка глубины) + <br />
 ОКОШКО задняя стенка капюшона скручивается и фиксируется застежкой  <br />
 КОЛЕСА количество 6 <br />
 диаметр передних колес 13см <br />
 диаметр задних колес 16см <br />
 тип передних колес (одинарные/двойные/поворотные) двойные <br />
 тип задних колес (одинарные/двойные/поворотные) одинарные <br />
 фиксатор на передних колесах <br />
 материал EVA <br />
 ТОРМОЗ задние колеса + <br />
 АМОРТИЗАТОРЫ да/нет на передних колесах <br />
 ДОПОЛНИТЕЛЬНО корзина да <br />
 чехол + <br />
 ВЕС 6кг",,1,1,Китай,,,,,,,,,,,Прогулочная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737496039.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! Коляска прогулочная коляска PILOT M 3294-8, розово-черная ***, фото 1",1596,"ТИП прогулочная + <br />
 КОЛИЧЕСТВО МЕСТ одноместная/двухместная одноместная <br />
 ТИП СЛОЖЕНИЯ книжка + <br />
 в сложенном виде фиксируется застежкой, устойчива в вертикальном положении  <br />
 складывается с помощью ремня на сиденьи и застежки сбоку коляски  <br />
 РАМА алюминий <br />
 ГАБАРИТНЫЙ РАЗМЕР в собранном виде (д/ш/в) 80см/51см/102см <br />
 в сложенном виде 75см/51см/34см <br />
 РАЗМЕР СПАЛЬНОГО МЕСТА длина/ширина д80см-ш28см <br />
 ШИРИНА ШАССИ передних колес/задних колес 45,5см/51см <br />
 РОДИТЕЛЬСКАЯ РУЧКА материал EVA <br />
 высота от пола до ручки 102см <br />
 РЕМЕНЬ БЕЗОПАСНОСТИ 5-ти точечный + <br />
 СПИНКА регулируемая (ремнем/рычаг/планка) да/рег.ремнем <br />
 СИДЕНЬЕ размер ш28см-г22см <br />
 высота от пола до сиденья 43см <br />
 ПОДНОЖКА регулируемая + <br />
 БАМПЕР съемный + <br />
 растегивается + <br />
 КАПЮШОН глубокий (с трещоткой) + <br />
 застежка-молния (регулировка глубины) + <br />
 ОКОШКО задняя стенка капюшона скручивается и фиксируется застежкой  <br />
 КОЛЕСА количество 6 <br />
 диаметр передних колес 13см <br />
 диаметр задних колес 16см <br />
 тип передних колес (одинарные/двойные/поворотные) двойные <br />
 тип задних колес (одинарные/двойные/поворотные) одинарные <br />
 фиксатор на передних колесах <br />
 материал EVA <br />
 ТОРМОЗ задние колеса + <br />
 АМОРТИЗАТОРЫ да/нет на передних колесах <br />
 ДОПОЛНИТЕЛЬНО корзина да/съемная <br />
 чехол + <br />
 ВЕС 5,75кг",,1,1,Китай,,,,,,,,,,,Прогулочная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737496514.jpg
Bambi,"Мега скидки до 50 %!!!!","Мега скидка!! Детский квадрацикл- толокар с баскетбольным кольцом и 3-мя шариками 606CB желтый  ***",980,"тигр,аккум6V4,5A, баскетб.кольцо,багажник,3шарика",,1,1,Китай,Электромотоцикл,,"От 1 года",,,,,,,,,Мотоцикл,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737502133.jpg
Bambi,"Мега скидки до 50 %!!!!","Мега скидка!! Детский беговел PROFI KIDS 12 д  с ева колесами M 3440B-7 ***",756,"Вес :   3.2 кг Колеса, диаметр : 12  дюймов Материал колес: EVA Обода: пластмасса Регулируемое сиденье, min 29см, max высота 42см Высота до руля - min 50см, max высота 63см Длина беговела - 85см Ручной тормоз",,1,1,Китай,Машинка,Унисекс,"От 2 до 4 лет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737503515.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! БЕГОВЕЛ PROFI KIDS ДЕТСКИЙ 12 Д. M 3440W-2***",784,"    ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ М 3440W-2 Вес :  2,7  кг Материал: облегченная сталь Колеса, диаметр :  12 дюймов Материал колес: EVA Обода: пластмасса Колесные втулки: пластмасса Регулируемое сиденье, max высота 43см Регулируемый руль, max высота 59,5см",,1,1,Китай,Машинка,Унисекс,"От 2 до 4 лет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737504301.jpg
